Source,Target,Type,Weight
1,3,Directed,1
1,4,Directed,1
1,36,Directed,1
1,40,Directed,1
1,57,Directed,1
1,59,Directed,1
1,63,Directed,1
2,4,Directed,1
2,37,Directed,1
2,42,Directed,1
2,62,Directed,1
4,1,Directed,1
4,2,Directed,1
4,19,Directed,1
4,23,Directed,1
4,26,Directed,1
4,62,Directed,1
5,6,Directed,1
5,9,Directed,1
5,10,Directed,1
5,12,Directed,1
5,14,Directed,1
5,22,Directed,1
5,23,Directed,1
5,30,Directed,1
5,35,Directed,1
5,36,Directed,1
5,37,Directed,1
5,42,Directed,1
5,44,Directed,1
5,46,Directed,1
5,50,Directed,1
5,53,Directed,1
5,54,Directed,1
6,7,Directed,1
7,9,Directed,1
7,10,Directed,1
7,12,Directed,1
7,15,Directed,1
8,9,Directed,1
8,10,Directed,1
8,12,Directed,1
8,15,Directed,1
8,22,Directed,1
8,28,Directed,1
8,35,Directed,1
8,37,Directed,1
8,46,Directed,1
8,57,Directed,1
12,5,Directed,1
12,6,Directed,1
12,7,Directed,1
12,8,Directed,1
12,11,Directed,1
12,13,Directed,1
12,16,Directed,1
12,20,Directed,1
12,21,Directed,1
12,23,Directed,1
12,24,Directed,1
12,35,Directed,1
12,36,Directed,1
12,37,Directed,1
12,40,Directed,1
12,41,Directed,1
12,44,Directed,1
12,46,Directed,1
12,50,Directed,1
12,53,Directed,1
14,5,Directed,1
14,19,Directed,1
14,21,Directed,1
14,23,Directed,1
14,35,Directed,1
14,36,Directed,1
14,37,Directed,1
14,41,Directed,1
14,44,Directed,1
14,48,Directed,1
14,50,Directed,1
14,53,Directed,1
14,62,Directed,1
16,11,Directed,1
16,12,Directed,1
16,15,Directed,1
16,44,Directed,1
16,62,Directed,1
17,19,Directed,1
17,35,Directed,1
17,36,Directed,1
17,40,Directed,1
17,56,Directed,1
17,57,Directed,1
18,21,Directed,1
18,28,Directed,1
18,35,Directed,1
18,42,Directed,1
18,48,Directed,1
18,63,Directed,1
19,0,Directed,1
19,2,Directed,1
19,14,Directed,1
19,17,Directed,1
19,27,Directed,1
19,37,Directed,1
19,51,Directed,1
19,58,Directed,1
19,62,Directed,1
20,6,Directed,1
20,9,Directed,1
20,10,Directed,1
20,12,Directed,1
20,15,Directed,1
20,22,Directed,1
20,35,Directed,1
20,37,Directed,1
20,48,Directed,1
21,9,Directed,1
21,10,Directed,1
21,12,Directed,1
21,14,Directed,1
21,15,Directed,1
21,18,Directed,1
22,5,Directed,1
22,8,Directed,1
22,11,Directed,1
22,20,Directed,1
22,23,Directed,1
22,37,Directed,1
22,44,Directed,1
22,46,Directed,1
22,47,Directed,1
22,48,Directed,1
22,64,Directed,1
23,4,Directed,1
23,5,Directed,1
23,7,Directed,1
23,9,Directed,1
23,10,Directed,1
23,11,Directed,1
23,12,Directed,1
23,14,Directed,1
23,15,Directed,1
23,22,Directed,1
23,35,Directed,1
23,37,Directed,1
23,40,Directed,1
23,44,Directed,1
23,48,Directed,1
23,59,Directed,1
24,6,Directed,1
24,9,Directed,1
24,10,Directed,1
24,12,Directed,1
24,14,Directed,1
24,15,Directed,1
24,16,Directed,1
24,18,Directed,1
24,21,Directed,1
24,23,Directed,1
24,26,Directed,1
24,62,Directed,1
25,5,Directed,1
25,37,Directed,1
25,46,Directed,1
26,4,Directed,1
27,14,Directed,1
27,19,Directed,1
27,28,Directed,1
27,36,Directed,1
27,40,Directed,1
27,56,Directed,1
27,57,Directed,1
27,63,Directed,1
28,0,Directed,1
28,1,Directed,1
28,17,Directed,1
28,27,Directed,1
28,50,Directed,1
28,51,Directed,1
29,62,Directed,1
30,62,Directed,1
30,63,Directed,1
31,0,Directed,1
31,1,Directed,1
31,17,Directed,1
31,46,Directed,1
31,51,Directed,1
32,12,Directed,1
32,28,Directed,1
32,32,Directed,1
32,37,Directed,1
32,51,Directed,1
32,56,Directed,1
32,58,Directed,1
33,14,Directed,1
33,16,Directed,1
33,37,Directed,1
33,41,Directed,1
34,0,Directed,1
34,1,Directed,1
34,17,Directed,1
34,27,Directed,1
34,51,Directed,1
35,5,Directed,1
35,6,Directed,1
35,8,Directed,1
35,12,Directed,1
35,14,Directed,1
35,17,Directed,1
35,18,Directed,1
35,20,Directed,1
35,23,Directed,1
35,36,Directed,1
35,37,Directed,1
35,41,Directed,1
35,44,Directed,1
35,48,Directed,1
35,58,Directed,1
36,0,Directed,1
36,1,Directed,1
36,5,Directed,1
36,9,Directed,1
36,10,Directed,1
36,12,Directed,1
36,15,Directed,1
36,17,Directed,1
36,27,Directed,1
36,35,Directed,1
36,51,Directed,1
36,58,Directed,1
36,62,Directed,1
37,2,Directed,1
37,5,Directed,1
37,6,Directed,1
37,8,Directed,1
37,9,Directed,1
37,10,Directed,1
37,11,Directed,1
37,12,Directed,1
37,14,Directed,1
37,15,Directed,1
37,16,Directed,1
37,19,Directed,1
37,20,Directed,1
37,22,Directed,1
37,23,Directed,1
37,35,Directed,1
37,41,Directed,1
37,44,Directed,1
37,46,Directed,1
37,47,Directed,1
37,48,Directed,1
37,56,Directed,1
37,57,Directed,1
37,62,Directed,1
37,64,Directed,1
38,12,Directed,1
38,62,Directed,1
39,0,Directed,1
39,1,Directed,1
39,17,Directed,1
39,27,Directed,1
39,30,Directed,1
40,0,Directed,1
40,1,Directed,1
40,9,Directed,1
40,12,Directed,1
40,17,Directed,1
40,23,Directed,1
40,27,Directed,1
40,46,Directed,1
40,48,Directed,1
40,51,Directed,1
40,62,Directed,1
40,64,Directed,1
41,6,Directed,1
41,12,Directed,1
41,14,Directed,1
41,35,Directed,1
41,37,Directed,1
41,42,Directed,1
41,51,Directed,1
41,54,Directed,1
41,56,Directed,1
41,58,Directed,1
41,62,Directed,1
42,2,Directed,1
42,5,Directed,1
42,19,Directed,1
42,41,Directed,1
42,50,Directed,1
42,51,Directed,1
42,62,Directed,1
43,5,Directed,1
43,19,Directed,1
43,21,Directed,1
43,22,Directed,1
43,35,Directed,1
43,37,Directed,1
43,41,Directed,1
43,44,Directed,1
43,46,Directed,1
43,48,Directed,1
43,53,Directed,1
43,62,Directed,1
44,5,Directed,1
46,5,Directed,1
46,6,Directed,1
46,8,Directed,1
46,9,Directed,1
46,10,Directed,1
46,11,Directed,1
46,12,Directed,1
46,15,Directed,1
46,22,Directed,1
46,36,Directed,1
46,37,Directed,1
46,40,Directed,1
46,44,Directed,1
47,22,Directed,1
47,37,Directed,1
48,14,Directed,1
48,18,Directed,1
48,20,Directed,1
48,22,Directed,1
48,23,Directed,1
48,35,Directed,1
48,37,Directed,1
48,40,Directed,1
49,36,Directed,1
49,44,Directed,1
49,52,Directed,1
50,5,Directed,1
50,12,Directed,1
50,28,Directed,1
50,46,Directed,1
50,62,Directed,1
51,19,Directed,1
51,28,Directed,1
51,36,Directed,1
51,40,Directed,1
51,41,Directed,1
51,42,Directed,1
51,52,Directed,1
51,53,Directed,1
52,14,Directed,1
52,51,Directed,1
53,5,Directed,1
53,12,Directed,1
54,44,Directed,1
54,50,Directed,1
54,51,Directed,1
54,54,Directed,1
54,58,Directed,1
55,5,Directed,1
55,37,Directed,1
56,6,Directed,1
56,17,Directed,1
56,27,Directed,1
56,37,Directed,1
56,41,Directed,1
57,0,Directed,1
57,1,Directed,1
57,8,Directed,1
57,17,Directed,1
57,27,Directed,1
57,37,Directed,1
57,58,Directed,1
58,7,Directed,1
58,9,Directed,1
58,11,Directed,1
58,12,Directed,1
58,19,Directed,1
58,35,Directed,1
58,36,Directed,1
58,40,Directed,1
58,53,Directed,1
58,57,Directed,1
59,1,Directed,1
59,10,Directed,1
59,11,Directed,1
59,23,Directed,1
60,0,Directed,1
60,1,Directed,1
60,7,Directed,1
60,12,Directed,1
60,17,Directed,1
60,23,Directed,1
60,27,Directed,1
60,30,Directed,1
60,51,Directed,1
60,63,Directed,1
61,12,Directed,1
61,51,Directed,1
62,2,Directed,1
62,4,Directed,1
62,7,Directed,1
62,9,Directed,1
62,14,Directed,1
62,15,Directed,1
62,16,Directed,1
62,19,Directed,1
62,30,Directed,1
62,36,Directed,1
62,37,Directed,1
62,40,Directed,1
62,41,Directed,1
62,42,Directed,1
63,0,Directed,1
63,1,Directed,1
63,17,Directed,1
63,27,Directed,1
63,30,Directed,1
64,22,Directed,1
64,37,Directed,1
64,40,Directed,1
